t [s],az NO FLAT [m/s2],az WITH FLAT [m/s2]
   23.670000,   -9.809999,   -9.809999
   23.671000,   -9.809999,   -9.809999
   23.672000,   -9.809999,   -9.809999
   23.673000,   -9.809999,   -9.809999
   23.674000,   -9.809999,   -9.809999
   23.675000,   -9.809999,   -9.809999
   23.676000,   -9.809999,   -9.809999
   23.677000,   -9.809999,   -9.809999
   23.678000,   -9.809999,   -9.809999
   23.679000,   -9.809999,   -9.809999
   23.680000,   -9.809999,   -9.809999
   23.681000,   -9.809999,   -9.809999
   23.682000,   -9.809999,   -9.809999
   23.683000,   -9.809999,   -9.809999
   23.684000,   -9.809999,   -9.809999
   23.685000,   -9.809999,   -9.809999
   23.686000,   -9.809999,   -9.809999
   23.687000,   -9.809999,   -9.809999
   23.688000,   -9.809999,   -9.809999
   23.689000,   -9.809999,   -9.809999
   23.690000,   -9.809999,   -9.809999
   23.691000,   -9.809999,   -9.809999
   23.692000,   -9.809999,   -9.809999
   23.693000,   -9.809999,   -9.809999
   23.694000,   -9.809999,   -9.809999
   23.695000,   -9.809999,   -9.809999
   23.696000,   -9.809999,   -9.809999
   23.697000,   -9.809999,   -9.809999
   23.698000,   -9.809999,   -9.809999
   23.699000,   -9.809999,   -9.809999
   23.700000,   -9.809999,   -9.809999
   23.701000,   -9.809999,   -9.809999
   23.702000,   -9.809999,   -9.809999
   23.703000,   -9.809999,   -9.809999
   23.704000,   -9.809999,   -9.809999
   23.705000,   -9.809999,   -9.809999
   23.706000,   -9.809999,   -9.809999
   23.707000,   -9.809999,   -9.809999
   23.708000,   -9.809999,   -9.809999
   23.709000,   -9.809999,   -9.809999
   23.710000,   -9.809999,   -9.809999
   23.711000,   -9.809999,   -9.809999
   23.712000,   -9.809999,   -9.809999
   23.713000,   -9.809999,   -9.809999
   23.714000,   -9.809999,   -9.809999
   23.715000,   -9.809999,   -9.809999
   23.716000,   -9.809999,   -9.809999
   23.717000,   -9.809999,   -9.809999
   23.718000,   -9.809999,   -9.809999
   23.719000,   -9.809999,   -9.809999
   23.720000,   -9.809999,   -9.809999
   23.721000,   -9.809999,   -9.809999
   23.722000,   -9.809999,   -9.809999
   23.723000,   -9.809999,   -9.809999
   23.724000,   -9.809999,   -9.809999
   23.725000,   -9.809999,   -9.809999
   23.726000,   -9.809999,   -9.809999
   23.727000,   -9.809999,   -9.809999
   23.728000,   -9.809999,   -9.809999
   23.729000,   -9.809999,   -9.809999
   23.730000,   -9.809999,   -9.809999
   23.731000,   -9.809999,   -9.809999
   23.732000,   -9.809999,   -9.809999
   23.733000,   -9.809999,   -9.809999
   23.734000,   -9.809999,   -9.809999
   23.735000,   -9.809999,   -9.809999
   23.736000,   -9.809999,   -9.809999
   23.737000,   -9.809999,   -9.809999
   23.738000,   -9.809999,   -9.809999
   23.739000,   -9.809999,   -9.809999
   23.740000,   -9.809999,   -9.809999
   23.741000,   -9.809999,   -9.809999
   23.742000,   -9.809999,   -9.809999
   23.743000,   -9.809999,   -9.809999
   23.744000,   -9.809999,   -9.809999
   23.745000,   -9.809999,   -9.809999
   23.746000,   -9.809999,   -9.809999
   23.747000,   -9.809999,   -9.809999
   23.748000,   -9.809999,   -9.809999
   23.749000,   -9.809999,   -9.809999
   23.750000,   -9.809999,   -9.809999
   23.751000,   -9.809999,   -9.809999
   23.752000,   -9.809999,   -9.809999
   23.753000,   -9.809999,   -9.809999
   23.754000,   -9.809999,   -9.809999
   23.755000,   -9.809999,   -9.809999
   23.756000,   -9.809999,   -9.809999
   23.757000,   -9.809999,   -9.809999
   23.758000,   -9.809999,   -9.809999
   23.759000,   -9.809999,   -9.809999
   23.760000,   -9.809999,   -9.809999
   23.761000,   -9.809999,   -9.809999
   23.762000,   -9.809999,   -9.809999
   23.763000,   -9.809999,   -9.809999
   23.764000,   -9.809999,   -9.809999
   23.765000,   -9.809999,   -9.809999
   23.766000,   -9.809999,   -9.809999
   23.767000,   -9.809999,   -9.809999
   23.768000,   -9.809999,   -9.809999
   23.769000,   -9.809999,   -9.809999
   23.770000,   -9.809999,   -9.809999
   23.771000,   -9.809999,   -9.809999
   23.772000,   -9.809999,   -9.809999
