t [s],az NO FLAT [m/s2],az WITH FLAT [m/s2]
    0.000000,   -6.164348,   -6.164348
    0.001000,   -9.792249,   -9.792249
    0.002000,   -9.792935,   -9.792935
    0.003000,   -9.794573,   -9.794573
    0.004000,   -9.797287,   -9.797287
    0.005000,   -9.798793,   -9.798793
    0.006000,   -9.797713,   -9.797713
    0.007000,   -9.794441,   -9.794441
    0.008000,   -9.788364,   -9.788364
    0.009000,   -9.780583,   -9.780583
    0.010000,   -9.770986,   -9.770986
    0.011000,   -9.761601,   -9.761601
    0.012000,   -9.752007,   -9.752007
    0.013000,   -9.744205,   -9.744205
    0.014000,   -9.737805,   -9.737805
    0.015000,   -9.734255,   -9.734255
    0.016000,   -9.732550,   -9.732550
    0.017000,   -9.733446,   -9.733446
    0.018000,   -9.736606,   -9.736606
    0.019000,   -9.741915,   -9.741915
    0.020000,   -9.748860,   -9.748860
    0.021000,   -9.757156,   -9.757156
    0.022000,   -9.767508,   -9.767508
    0.023000,   -9.782634,   -9.782634
    0.024000,   -9.808165,   -9.808165
    0.025000,   -9.857755,   -9.857755
    0.026000,   -9.937938,   -9.937938
    0.027000,  -10.003020,  -10.003020
    0.028000,   -9.936823,   -9.936823
    0.029000,   -9.683105,   -9.683105
    0.030000,   -9.531259,   -9.531259
    0.031000,   -9.545536,   -9.545536
    0.032000,   -9.673880,   -9.673880
    0.033000,   -9.834178,   -9.834178
    0.034000,   -9.962599,   -9.962599
    0.035000,  -10.034050,  -10.034050
    0.036000,  -10.051130,  -10.051130
    0.037000,  -10.042530,  -10.042530
    0.038000,  -10.029660,  -10.029660
    0.039000,  -10.016350,  -10.016350
    0.040000,  -10.002160,  -10.002160
    0.041000,   -9.995660,   -9.995660
    0.042000,  -10.014700,  -10.014700
    0.043000,  -10.050750,  -10.050750
    0.044000,  -10.087120,  -10.087120
    0.045000,  -10.108020,  -10.108020
    0.046000,  -10.112260,  -10.112260
    0.047000,  -10.110280,  -10.110280
    0.048000,  -10.121420,  -10.121420
    0.049000,  -10.146020,  -10.146020
    0.050000,  -10.183740,  -10.183740
    0.051000,  -10.184620,  -10.184620
    0.052000,  -10.173270,  -10.173270
    0.053000,  -10.168190,  -10.168190
    0.054000,  -10.162980,  -10.162980
    0.055000,  -10.180620,  -10.180620
    0.056000,  -10.192740,  -10.192740
    0.057000,  -10.229550,  -10.229550
    0.058000,  -10.222160,  -10.222160
    0.059000,  -10.224210,  -10.224210
    0.060000,  -10.217250,  -10.217250
    0.061000,  -10.211320,  -10.211320
    0.062000,  -10.207280,  -10.207280
    0.063000,  -10.205450,  -10.205450
    0.064000,  -10.204580,  -10.204580
    0.065000,  -10.203710,  -10.203710
    0.066000,  -10.201560,  -10.201560
    0.067000,  -10.197700,  -10.197700
    0.068000,  -10.192390,  -10.192390
    0.069000,  -10.186170,  -10.186170
    0.070000,  -10.180150,  -10.180150
    0.071000,  -10.173910,  -10.173910
    0.072000,  -10.169300,  -10.169300
    0.073000,  -10.163830,  -10.163830
    0.074000,  -10.156500,  -10.156500
    0.075000,  -10.152280,  -10.152280
    0.076000,  -10.145220,  -10.145220
    0.077000,  -10.147720,  -10.147720
    0.078000,  -10.130710,  -10.130710
    0.079000,  -10.130640,  -10.130640
    0.080000,  -10.146380,  -10.146380
    0.081000,  -10.124860,  -10.124860
    0.082000,  -10.144760,  -10.144760
    0.083000,  -10.091600,  -10.091600
    0.084000,  -10.121940,  -10.121940
    0.085000,  -10.124580,  -10.124580
    0.086000,  -10.119650,  -10.119650
    0.087000,  -10.113590,  -10.113590
    0.088000,  -10.108250,  -10.108250
    0.089000,  -10.104860,  -10.104860
    0.090000,  -10.103630,  -10.103630
    0.091000,  -10.103380,  -10.103380
    0.092000,  -10.103230,  -10.103230
    0.093000,  -10.101630,  -10.101630
    0.094000,  -10.098980,  -10.098980
    0.095000,  -10.096390,  -10.096390
    0.096000,  -10.093290,  -10.093290
    0.097000,  -10.090740,  -10.090740
    0.098000,  -10.087100,  -10.087100
    0.099000,  -10.082140,  -10.082140
    0.100000,  -10.077810,  -10.077810
    0.101000,  -10.072250,  -10.072250
    0.102000,  -10.068780,  -10.068780
    0.103000,  -10.059230,  -10.059230
    0.104000,  -10.059150,  -10.059150
    0.105000,  -10.034450,  -10.034450
    0.106000,  -10.031090,  -10.031090
    0.107000,  -10.045910,  -10.045910
    0.108000,  -10.012920,  -10.012920
    0.109000,  -10.034480,  -10.034480
    0.110000,   -9.955214,   -9.955214
