t [s],az NO FLAT [m/s2],az WITH FLAT [m/s2]
    5.670000,   -9.809990,   -9.809990
    5.671000,   -9.809990,   -9.809990
    5.672000,   -9.809990,   -9.809990
    5.673000,   -9.809990,   -9.809990
    5.674000,   -9.809990,   -9.809990
    5.675000,   -9.809990,   -9.809990
    5.676000,   -9.809990,   -9.809990
    5.677000,   -9.809990,   -9.809990
    5.678000,   -9.809990,   -9.809990
    5.679000,   -9.809990,   -9.809990
    5.680000,   -9.810000,   -9.810000
    5.681000,   -9.809990,   -9.809990
    5.682000,   -9.809990,   -9.809990
    5.683000,   -9.809990,   -9.809990
    5.684000,   -9.809990,   -9.809990
    5.685000,   -9.809990,   -9.809990
    5.686000,   -9.809990,   -9.809990
    5.687000,   -9.810000,   -9.810000
    5.688000,   -9.810000,   -9.810000
    5.689000,   -9.810000,   -9.810000
    5.690000,   -9.810000,   -9.810000
    5.691000,   -9.810000,   -9.810000
    5.692000,   -9.810000,   -9.810000
    5.693000,   -9.810000,   -9.810000
    5.694000,   -9.810000,   -9.810000
    5.695000,   -9.810000,   -9.810000
    5.696000,   -9.810000,   -9.810000
    5.697000,   -9.810000,   -9.810000
    5.698000,   -9.810000,   -9.810000
    5.699000,   -9.810000,   -9.810000
    5.700000,   -9.810000,   -9.810000
    5.701000,   -9.810000,   -9.810000
    5.702000,   -9.810000,   -9.810000
    5.703000,   -9.810000,   -9.810000
    5.704000,   -9.810000,   -9.810000
    5.705000,   -9.810000,   -9.810000
    5.706000,   -9.810000,   -9.810000
    5.707000,   -9.810000,   -9.810000
    5.708000,   -9.810000,   -9.810000
    5.709000,   -9.810000,   -9.810000
    5.710000,   -9.810000,   -9.810000
    5.711000,   -9.810000,   -9.810000
    5.712000,   -9.810000,   -9.810000
    5.713000,   -9.810000,   -9.810000
    5.714000,   -9.810000,   -9.810000
    5.715000,   -9.810000,   -9.810000
    5.716000,   -9.810000,   -9.810000
    5.717000,   -9.810000,   -9.810000
    5.718000,   -9.810000,   -9.810000
    5.719000,   -9.810000,   -9.810000
    5.720000,   -9.810000,   -9.810000
    5.721000,   -9.810000,   -9.810000
    5.722000,   -9.810000,   -9.810000
    5.723000,   -9.810000,   -9.810000
    5.724000,   -9.810000,   -9.810000
    5.725000,   -9.810000,   -9.810000
    5.726000,   -9.810000,   -9.810000
    5.727000,   -9.810000,   -9.810000
    5.728000,   -9.810000,   -9.810000
    5.729000,   -9.810000,   -9.810000
    5.730000,   -9.810000,   -9.810000
    5.731000,   -9.810000,   -9.810000
    5.732000,   -9.810000,   -9.810000
    5.733000,   -9.810000,   -9.810000
    5.734000,   -9.810000,   -9.810000
    5.735000,   -9.810000,   -9.810000
    5.736000,   -9.810000,   -9.810000
    5.737000,   -9.810000,   -9.810000
    5.738000,   -9.810000,   -9.810000
    5.739000,   -9.810000,   -9.810000
